EmployeeID,Name,Age,Department,Salary,Experience,City,JoinDate,Performance
33,Eva,36.0,Sales,64814.0,10,Khulna,2020-02-01,Poor
34,Charlie,60.0,Marketing,103792.0,39,Chattogram,2023-05-05,Average
35,John,25.0,IT,62018.0,0, Khulna ,2023-12-10,Excellent
36,David,56.0,IT,69240.0,26,Sylhet,2016-02-24,Good
37,George,38.0,Sales,66930.0,9,Chattogram,2019-09-16,Average
38,Nina,24.0,Sales,42097.0,0,Dhaka,2015-06-25,Good
39,Rita,37.0,Finance,51178.0,10,Rajshahi,2015-02-03,Good
40,Sara,55.0,Marketing,34722.0,30,Chattogram,2021-03-02,Average
41,George,44.0,IT,35229.0,19,Dhaka,2020-09-28,Poor
42,Fatima,60.0,IT,50257.0,37,Khulna,2015-03-24,Average
43,Ivy,47.0,IT,117806.0,24,Dhaka,2021-01-28,Poor
44,Lina,35.0,Sales,,8,Chattogram,2018-01-22,Good
45,Charlie,46.0,Sales,73025.0,22,Sylhet,2023-07-22,Average
46,Fatima,22.0,Marketing,45118.0,0,Sylhet,2015-02-20,Poor
47,Tom,43.0,Marketing,71114.0,17,Dhaka,2021-10-07,Average
48,Quinn,23.0,Marketing,87154.0,3,Chattogram,2020-07-03,Average
49,David,60.0,Sales,71145.0,30,Rajshahi,2019-11-14,Average
50,Eva,46.0,IT,68752.0,18, Khulna ,2021-11-24,Good
51,Maya,,Marketing,104593.0,36,Dhaka,2019-05-07,Poor
52,Karim,58.0,Finance,109516.0,28,Khulna,2022-11-07,Poor
53,John,31.0,Marketing,116356.0,10,Rajshahi,2020-02-27,Good
54,Eva,40.0,HR,,17,Dhaka,2018-08-20,Excellent
55,Sara,,IT,84321.0,20,Khulna,2022-07-08,Good
56,Hassan,21.0,it,43970.0,0,Rajshahi,2022-01-18,Good
57,Omar,28.0,Marketing,89829.0,6,Rajshahi,2024-06-25,Poor
58,Rita,60.0,Finance,96162.0,34,Chattogram,2022-08-09,Good
59,Hassan,38.0,sales,98327.0,11,Khulna,2016-12-10,Good
60,Rita,38.0,HR,,13,Chattogram,2017-04-13,Good
61,Nina,34.0,Sales,38418.0,8,Rajshahi,2022-07-02,Good
62,Alice,47.0,Marketing,81049.0,18,Khulna,2022-01-12,Average
63,Rita,45.0,Marketing,84921.0,17,Chattogram,2022-04-09,Poor
64,Karim,52.0,Finance,33804.0,26,Chattogram,2022-03-20,Excellent
65,Alice,46.0,HR,107580.0,17,Khulna,2017-08-06,Excellent
66,George,37.0,Finance,79689.0,12,Sylhet,2020-07-09,Poor
67,Alice,37.0,Marketing,40735.0,10,Dhaka,2020-04-21,Excellent
68,George,23.0,HR,34067.0,0,Rajshahi,2017-04-05,Poor
69,Omar,28.0,Sales,103920.0,5,Sylhet,2017-10-20,Excellent
70,Sara,31.0,HR,70768.0,10,Sylhet,2024-11-13,Poor
71,Hassan,33.0,HR,39961.0,4,Sylhet,2024-02-26,Excellent
72,Lina,43.0,HR,99827.0,17,Rajshahi,2020-01-28,Poor
73,Lina,52.0,Finance,,26,Chattogram,2021-03-24,Average
74,Omar,60.0,Finance,100539.0,33,Rajshahi,2019-06-28,Good
75,Hassan,26.0,Finance,66559.0,0,Rajshahi,2024-11-13,Average
76,Fatima,22.0,Finance,94789.0,0,Chattogram,2020-05-11,Average
77,Alice,59.0,Marketing,66211.0,31,Chattogram,2016-04-24,Poor
78,Paul,52.0,Finance,,29,Khulna,2015-02-10,Good
79,Sara,46.0,Sales,61890.0,22,Khulna,2023-09-12,Poor
80,Omar,56.0,Sales,73357.0,31,Sylhet,2019-04-04,Good
81,Fatima,41.0,IT,45670.0,13,Chattogram,2022-05-24,Average
82,Hassan,150.0,Sales,55443.0,3,Chattogram,2019-01-23,Good
83,Rita,38.0,Sales,35965.0,18,Chattogram,2022-02-28,Excellent
84,Paul,57.0,Finance,67268.0,30,Sylhet,2017-01-09,Poor
85,Paul,28.0,hr,38564.0,2,Rajshahi,2015-03-05,Average
86,Rita,,Finance,62530.0,5,Rajshahi,2024-10-08,Poor
87,Sara,49.0,Finance,88028.0,25,Sylhet,2024-10-02,Excellent
88,Ivy,34.0,HR,111987.0,11,Chattogram,2018-03-18,Excellent
89,Omar,31.0,Marketing,30350.0,5,Khulna,2019-01-08,Average
90,Hassan,150.0,Sales,89510.0,18,Rajshahi,2018-07-04,Good
91,Charlie,30.0,HR,64816.0,8,Chattogram,2019-10-24,Average
92,John,49.0,Finance,46299.0,22,Sylhet,2023-09-16,Poor
93,Nina,26.0,Sales,108385.0,6,Rajshahi,2019-01-03,Good
94,Ivy,57.0,Marketing,106955.0,37,Dhaka,2017-08-17,Poor
95,Nina,38.0,Finance,53788.0,9,Dhaka,2022-06-14,Average
96,Fatima,41.0,Sales,117835.0,20,Khulna,2022-05-22,Poor
97,Charlie,56.0,Sales,34809.0,29,Sylhet,2020-02-25,Poor
98,Rita,53.0,Finance,30150.0,23,Khulna,2015-04-17,Average
99,Omar,60.0,HR,95338.0,30,Chattogram,2019-09-05,Average
100,Alice,49.0,Marketing,93532.0,28,Chattogram,2017-05-18,Excellent
101,Hassan,56.0,HR,83476.0,35,Khulna,2016-11-27,Good
102,Ivy,52.0,Finance,68254.0,24,Khulna,2022-04-15,Good
103,Quinn,45.0,IT,54983.0,16,Dhaka,2019-07-11,Average
104,Sara,21.0,Marketing,67072.0,0,Khulna,2017-08-18,Poor
105,Rita,43.0,Finance,73573.0,15,Khulna,2020-04-23,Good
106,Nina,57.0,HR,80196.0,34, Sylhet ,2022-12-26,Poor
107,Eva,45.0,Finance,116991.0,15,Dhaka,2017-09-19,Average
108,Quinn,27.0,Finance,87711.0,6,Dhaka,2017-07-28,Good
109,Karim,25.0,Marketing,91537.0,1,Khulna,2016-06-28,Poor
110,Rita,41.0,HR,112155.0,14,Rajshahi,2016-04-21,Average
111,David,35.0,HR,41846.0,9,Khulna,2017-12-10,Excellent
112,John,23.0,Sales,72516.0,3,Sylhet,2021-03-08,Poor
113,Fatima,57.0,IT,119364.0,35,Dhaka,2024-07-20,Good
114,Hassan,,Finance,106435.0,30,Sylhet,2022-05-22,Excellent
115,Rita,50.0,IT,67700.0,20,Dhaka,2022-06-19,Average
116,John,48.0,IT,62780.0,21,Khulna,2022-02-08,Poor
117,John,57.0,Sales,77049.0,28,Dhaka,2021-05-01,Excellent
118,Hassan,59.0,Marketing,95107.0,35,Sylhet,2018-11-07,Average
119,Bob,29.0,Sales,-5000.0,8,Khulna,2015-10-12,Good
120,Nina,26.0,IT,68680.0,1,Chattogram,2017-09-12,Average
121,John,31.0,Sales,63681.0,4,Dhaka,2022-02-05,Good
122,Charlie,46.0,Finance,103048.0,21,Dhaka,2019-09-04,Poor
123,Ivy,44.0,Marketing,118188.0,14,Khulna,2020-02-22,Good
124,Rita,51.0,Sales,33280.0,22,Rajshahi,2018-11-03,Poor
125,David,40.0,it,115097.0,14,Dhaka,2015-05-16,Excellent
126,Eva,27.0,Finance,60775.0,0,Khulna,2020-11-24,Poor
127,David,58.0,Finance,50253.0,32,Rajshahi,2021-05-02,Average
128,Hassan,34.0,Sales,88115.0,7,Dhaka,2020-09-21,Average
129,George,24.0,HR,82184.0,0,Khulna,2016-11-07,Excellent
130,Eva,24.0,Marketing,73713.0,1,Chattogram,2016-09-07,Good
131,Tom,35.0,HR,73064.0,13,Sylhet,2017-03-18,Average
132,Alice,32.0,IT,44408.0,2,Dhaka,2020-04-19,Average
133,Bob,,IT,52838.0,0,Khulna,2023-02-24,Excellent
134,Quinn,51.0,Marketing,88756.0,26,Dhaka,2022-09-08,Excellent
135,Alice,54.0,HR,69535.0,27,Khulna,2021-07-22,Excellent
136,Charlie,52.0,Sales,88138.0,31,Rajshahi,2017-02-05,Average
137,Rita,60.0,Sales,112978.0,31,Khulna,2024-09-10,Poor
138,David,53.0,HR,109354.0,27,Rajshahi,2018-07-15,Good
139,Maya,47.0,Finance,74424.0,20,Dhaka,2020-07-11,Average
140,Paul,44.0,HR,50006.0,14,Dhaka,2016-02-14,Excellent
141,Bob,44.0,Marketing,47054.0,16,Rajshahi,2023-06-22,Excellent
142,Nina,47.0,HR,76346.0,17,Sylhet,2024-05-12,Excellent
143,Eva,57.0,Finance,96507.0,34,Chattogram,2016-06-28,Average
144,Hassan,28.0,Finance,66512.0,0,Rajshahi,2024-10-22,Excellent
145,Alice,59.0,IT,116223.0,35,Sylhet,2019-06-12,Excellent
146,Maya,32.0,HR,48776.0,3,Chattogram,2015-02-24,Good
147,Karim,45.0,IT,85028.0,18,Sylhet,2019-12-11,Excellent
148,Tom,24.0,HR,50392.0,2,Dhaka,2019-08-22,Poor
149,Nina,52.0,Sales,109570.0,25,Chattogram,2023-02-12,Poor
150,Sara,28.0,Finance,67125.0,0,Rajshahi,2019-01-08,Poor
151,George,59.0,Sales,37180.0,39,Chattogram,2017-05-10,Average
152,Nina,28.0,IT,,1,Chattogram,2021-09-23,Good
153,Lina,53.0,HR,103233.0,23,Khulna,2015-07-01,Poor
154,Nina,25.0,marketing,71033.0,0,Khulna,2021-05-04,Poor
155,Tom,22.0,Finance,72568.0,0,Sylhet,2016-07-28,Excellent
156,Maya,36.0,Marketing,87104.0,7,Dhaka,2021-05-24,Average
157,Charlie,35.0,Marketing,73655.0,13,Dhaka,2023-09-07,Average
158,Hassan,43.0,HR,114599.0,21,Chattogram,2019-04-06,Good
159,Paul,25.0,Finance,53218.0,0,Rajshahi,2024-08-22,Average
160,Charlie,41.0,Finance,,14,Khulna,2019-05-19,Excellent
161,John,43.0,Finance,96497.0,22,Khulna,2015-01-12,Average
162,Tom,25.0,Marketing,114497.0,4,Rajshahi,2021-08-19,Excellent
163,George,49.0,Sales,104928.0,19,Rajshahi,2022-09-05,Excellent
164,Charlie,49.0,Marketing,43566.0,24, Chattogram ,2015-04-23,Poor
165,Tom,49.0,IT,98690.0,21,Sylhet,2020-05-13,Poor
166,Bob,42.0,Sales,118984.0,13,Dhaka,2020-02-18,Poor
167,Tom,39.0,IT,63029.0,9,Sylhet,2016-10-22,Good
168,Maya,43.0,IT,70662.0,13,Rajshahi,2016-05-18,Poor
169,Quinn,42.0,HR,46750.0,12,Khulna,2023-06-01,Average
170,Karim,150.0,Finance,53627.0,17,Chattogram,2018-03-05,Excellent
171,Rita,39.0,Marketing,43256.0,11,Dhaka,2020-10-05,Poor
172,Tom,30.0,IT,51266.0,8,Khulna,2015-07-12,Good
173,Omar,49.0,IT,110031.0,25,Rajshahi,2018-05-26,Poor
174,Sara,33.0,Finance,78213.0,3,Khulna,2019-07-17,Poor
175,Eva,31.0,Sales,56174.0,2,Dhaka,2022-06-18,Excellent
176,Charlie,54.0,it,,30,Sylhet,2022-09-05,Poor
177,Lina,26.0,HR,,0,Khulna,2015-07-17,Average
178,Lina,36.0,IT,80615.0,15,Dhaka,2020-02-27,Average
179,John,30.0,Finance,,10, Chattogram ,2022-08-20,Excellent
180,George,26.0,IT,32490.0,2,Rajshahi,2024-09-14,Excellent
181,David,39.0,HR,61147.0,15,Chattogram,2021-11-26,Poor
182,Tom,25.0,Marketing,44530.0,0,Dhaka,2023-10-08,Good
183,Tom,39.0,Sales,86261.0,19,Chattogram,2024-07-06,Excellent
184,Quinn,54.0,Marketing,77265.0,33,Rajshahi,2023-09-01,Poor
185,Maya,51.0,Sales,35706.0,21,Sylhet,2015-06-26,Excellent
186,David,43.0,Marketing,61604.0,13,Sylhet,2017-01-12,Average
187,Paul,32.0,IT,119742.0,5,Chattogram,2016-12-25,Poor
188,Bob,23.0,IT,68462.0,0,Dhaka,2020-05-17,Poor
189,Bob,55.0,IT,92049.0,31,Sylhet,2020-01-28,Average
190,Nina,38.0,Finance,46315.0,13,Khulna,2021-06-06,Poor
191,Ivy,52.0,HR,78148.0,24,Khulna,2016-07-20,Good
192,David,,HR,68504.0,30,Sylhet,2019-05-15,Poor
193,Omar,31.0,HR,88183.0,6,Sylhet,2024-07-09,Excellent
194,Maya,25.0,Sales,117973.0,0,Rajshahi,2017-01-05,Poor
195,Hassan,23.0,Sales,46545.0,2,Sylhet,2021-10-02,Good
196,Omar,49.0,HR,78623.0,24,Rajshahi,2017-09-12,Poor
197,Hassan,41.0,HR,115139.0,17,Dhaka,2017-08-17,Poor
198,Ivy,56.0,Finance,45435.0,32,Chattogram,2024-05-23,Poor
199,Charlie,33.0,Finance,46074.0,11,Chattogram,2022-02-26,Average
200,Rita,43.0,Sales,38511.0,15,Sylhet,2017-12-23,Good
201,David,,IT,96683.0,21,Chattogram,2018-08-01,Average
202,Omar,56.0,Marketing,105009.0,31,Chattogram,2024-02-03,Average
203,Nina,46.0,Finance,92739.0,18,Rajshahi,2016-03-11,Excellent
204,Quinn,49.0,Sales,91057.0,19,Chattogram,2023-11-19,Good
205,Bob,,HR,86704.0,1,Rajshahi,2017-05-06,Good
206,Quinn,41.0,Sales,59552.0,16,Dhaka,2019-04-21,Average
207,Tom,29.0,Marketing,111922.0,5,Dhaka,2023-11-06,Good
208,Tom,31.0,Sales,-5000.0,2,Rajshahi,2015-01-03,Excellent
209,George,57.0,Marketing,64688.0,27,Khulna,2024-11-01,Poor
210,John,55.0,Finance,67967.0,25,Chattogram,2021-05-15,Excellent
211,Nina,24.0,Finance,50719.0,0,Khulna,2018-06-20,Good
212,Maya,41.0,IT,71853.0,16,Sylhet,2023-09-04,Average
213,Ivy,36.0,Finance,,15,Chattogram,2017-02-02,Average
214,Hassan,45.0,IT,110658.0,19,Sylhet,2024-12-11,Good
215,Omar,31.0,Finance,95308.0,3,Sylhet,2022-01-03,Poor
216,George,53.0,Marketing,89930.0,30,Sylhet,2015-01-10,Poor
217,Paul,59.0,Sales,115755.0,29,Rajshahi,2015-02-14,Good
218,Lina,37.0,HR,77943.0,11,Khulna,2015-10-18,Good
219,Charlie,44.0,Finance,-5000.0,20,Rajshahi,2022-09-09,Excellent
220,Lina,29.0,Sales,42672.0,3,Rajshahi,2020-03-07,Poor
221,Bob,,IT,35276.0,33,Sylhet,2022-09-15,Good
222,Karim,59.0,Marketing,97568.0,37,Sylhet,2017-07-20,Average
223,Quinn,58.0,Marketing,74089.0,30,Khulna,2024-05-16,Excellent
224,David,44.0,Finance,73416.0,14,Rajshahi,2019-12-28,Excellent
225,Sara,59.0,Marketing,92205.0,35, Chattogram ,2015-10-16,Good
226,Maya,54.0,IT,112447.0,25,Chattogram,2015-10-23,Excellent
227,Karim,33.0,Finance,32482.0,6,Chattogram,2021-12-07,Poor
228,Bob,53.0,IT,110147.0,26,Rajshahi,2018-09-11,Poor
229,Fatima,,Finance,79391.0,29,Rajshahi,2020-09-12,Average
230,Hassan,60.0,Sales,93462.0,37,Rajshahi,2019-04-10,Average
231,Paul,34.0,Sales,94094.0,9,Rajshahi,2019-05-04,Poor
232,John,46.0,HR,75237.0,24, Sylhet ,2016-06-15,Average
233,Rita,51.0,Sales,58047.0,28,Rajshahi,2019-03-04,Good
234,Quinn,36.0,IT,,6,Chattogram,2015-02-14,Average
235,Eva,51.0,HR,43178.0,21,Rajshahi,2017-07-21,Poor
236,John,51.0,Sales,115267.0,28,Sylhet,2015-02-21,Good
237,Nina,55.0,IT,-5000.0,33,Dhaka,2021-08-06,Average
238,Sara,,Marketing,31214.0,0,Dhaka,2020-05-15,Poor
239,Ivy,29.0,IT,96088.0,2,Dhaka,2020-03-24,Poor
240,Karim,37.0,Sales,54405.0,17,Rajshahi,2018-03-20,Poor
241,Charlie,48.0,Finance,97538.0,23,Dhaka,2017-03-16,Average
242,Maya,36.0,IT,30895.0,12,Khulna,2019-06-10,Excellent
243,Hassan,37.0,HR,115679.0,12,Dhaka,2022-05-06,Poor
244,John,53.0,Sales,70760.0,32, Rajshahi ,2018-04-05,Poor
245,Lina,30.0,Finance,89634.0,1,Rajshahi,2022-09-26,Good
246,Charlie,36.0,Marketing,119173.0,7,Khulna,2023-12-12,Excellent
247,Rita,57.0,Marketing,44707.0,37,Chattogram,2024-09-05,Good
248,David,41.0,IT,,14, Rajshahi ,2022-02-17,Poor
249,Quinn,24.0,Finance,89432.0,2,Khulna,2024-01-18,Poor
250,Ivy,40.0,HR,32853.0,14,Chattogram,2024-02-02,Poor
251,Bob,43.0,HR,38357.0,15,Khulna,2015-05-14,Good
252,Nina,29.0,Sales,114085.0,0,Khulna,2022-07-13,Excellent
253,Lina,55.0,HR,47431.0,25,Chattogram,2023-07-17,Good
254,John,35.0,Finance,30455.0,15,Rajshahi,2021-09-13,Good
255,Eva,36.0,Sales,90375.0,11,Chattogram,2016-01-26,Poor
256,George,60.0,HR,32050.0,37,Dhaka,2024-01-15,Excellent
257,Omar,36.0,IT,,10,Rajshahi,2018-01-05,Average
258,Sara,35.0,Marketing,105511.0,10,Sylhet,2018-05-05,Good
259,Bob,47.0,Marketing,69387.0,23,Rajshahi,2017-11-22,Poor
260,Lina,56.0,Finance,94962.0,36,Rajshahi,2020-12-14,Poor
261,Fatima,30.0,Marketing,69306.0,4,Khulna,2018-04-10,Good
262,Nina,,Finance,37552.0,22,Rajshahi,2023-03-13,Good
263,Charlie,37.0,Finance,56651.0,12,Sylhet,2016-09-24,Good
264,Tom,24.0,Marketing,65187.0,0,Dhaka,2016-04-26,Good
265,John,150.0,HR,57379.0,26,Chattogram,2018-12-04,Poor
266,Maya,,IT,109220.0,13,Rajshahi,2020-05-13,Poor
267,John,55.0,Sales,115029.0,30, Sylhet ,2023-08-15,Excellent
268,Lina,51.0,Sales,71973.0,28,Khulna,2015-10-28,Good
269,Rita,30.0,Marketing,32125.0,6,Rajshahi,2021-05-05,Good
270,Sara,42.0,IT,60149.0,16,Khulna,2023-11-22,Average
271,Paul,37.0,Finance,94044.0,7,Chattogram,2020-03-05,Poor
272,Bob,32.0,Marketing,101058.0,2,Dhaka,2016-11-02,Excellent
273,Hassan,47.0,HR,48021.0,17,Chattogram,2015-04-17,Poor
274,Tom,44.0,Finance,37923.0,15,Khulna,2015-01-18,Poor
275,Ivy,21.0,Marketing,32192.0,0,Sylhet,2015-09-27,Poor
276,Quinn,32.0,IT,44026.0,11,Chattogram,2018-10-17,Average
277,Charlie,43.0,Sales,65038.0,17,Khulna,2022-10-08,Good
278,Bob,40.0,HR,119658.0,19,Khulna,2021-07-18,Poor
279,Fatima,24.0,HR,113459.0,4,Khulna,2021-11-26,Average
280,Bob,57.0,IT,42499.0,29,Chattogram,2024-08-09,Excellent
281,Rita,25.0,Marketing,119709.0,1,Dhaka,2017-06-01,Good
282,Charlie,58.0,Sales,48899.0,32,Chattogram,2024-04-19,Poor
283,Eva,150.0,HR,73480.0,29,Rajshahi,2020-01-04,Poor
284,Tom,35.0,Marketing,39963.0,10,Rajshahi,2021-06-01,Average
285,Lina,49.0,Marketing,94304.0,26,Khulna,2021-03-22,Poor
286,Hassan,,HR,111083.0,2,Dhaka,2019-03-13,Good
287,David,45.0,HR,-5000.0,20,Dhaka,2019-08-12,Average
288,Fatima,27.0,Finance,47367.0,6,Khulna,2023-09-17,Poor
289,Lina,,Marketing,33442.0,6,Dhaka,2024-10-26,Average
290,Nina,45.0,Finance,31617.0,21,Dhaka,2023-04-19,Good
291,Ivy,45.0,Sales,52216.0,23,Sylhet,2022-03-03,Good
292,John,48.0,Finance,66170.0,22,Dhaka,2020-05-08,Poor
293,Omar,59.0,HR,110828.0,36,Chattogram,2019-01-13,Average
294,Omar,60.0,Sales,79792.0,35,Khulna,2024-03-10,Average
295,Karim,,IT,56326.0,32,Khulna,2020-05-24,Poor
296,Maya,57.0,Sales,61775.0,32,Khulna,2020-02-19,Good
297,Rita,58.0,HR,101516.0,36,Khulna,2018-08-26,Average
298,Paul,,IT,83627.0,0,Sylhet,2018-05-22,Good
299,Omar,48.0,Marketing,79412.0,27,Khulna,2024-07-18,Poor
300,Rita,55.0,Marketing,34818.0,30,Dhaka,2016-04-22,Average
1,Hassan,28.0,IT,33278.0,4,Chattogram,2016-11-24,Excellent
2,Alice,58.0,HR,85302.0,38,Chattogram,2018-09-20,Excellent
3,Rita,56.0,Finance,56062.0,26,Chattogram,2022-10-09,Excellent
4,Ivy,31.0,IT,85392.0,6,Chattogram,2020-02-03,Poor
5,Tom,27.0,Sales,77052.0,2,Dhaka,2022-09-04,Poor
